Number,Type,Congress,Title,Url,Summary,Committees,Topics,Related Bills,Sponsor,Subject,Text Access
39,S,111,"A bill to repeal section 10(f) of Public Law 93-531, commonly known as the ""Bennett Freeze"".",https://api.congress.gov/v3/bill/111/s/39?format=xml,<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Amends federal law to repeal the requirement regarding the freeze on the development of lands in litigation under the Navajo-Hopi Settlement Act of 1974. </p>,"['Natural Resources Committee', 'Indian Affairs Committee']","['Arizona', 'Indian lands and resources rights', 'Indian social and development programs', 'Real estate business']",https://api.congress.gov/v3/bill/111/hr/1762?format=xml,"Sen. McCain, John [R-AZ]",Native Americans,https://www.congress.gov/111/bills/s39/BILLS-111s39enr.xml
3196,S,111,Pre-Election Presidential Transition Act of 2010,https://api.congress.gov/v3/bill/111/s/3196?format=xml,"<b> <p />(This measure has not been amended since it was passed by the Senate on September 24, 2010. The summary of that version is repeated here.) </b> <p />Pre-Election Presidential Transition Act of 2010 - Amends the Presidential Transition Act of 1963 to direct the Administrator of the General Services Administration (GSA) to provide certain presidential transition services and facilities, including office space, equipment, and payment of certain related expenses, to eligible presidential and vice-presidential candidates before a presidential general election. <p>Directs the President, or the President's delegate, to take necessary and appropriate actions to plan and coordinate activities by the executive branch of the federal government to facilitate an efficient transfer of power to a successor President.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight of Government Management, the Federal Workforce, and the District of Columbia Subcommittee']","['Elections, voting, political campaign regulation', 'Government buildings, facilities, and property', 'Presidents and presidential powers, Vice Presidents']",,"Sen. Kaufman, Edward E. [D-DE]",Government Operations and Politics,https://www.congress.gov/111/bills/s3196/BILLS-111s3196enr.xml
45,HJRES,111,Increasing the statutory limit on the public debt.,https://api.congress.gov/v3/bill/111/hjres/45?format=xml,"<p><b>(This measure has not been amended since it was passed by the Senate on January 28, 2010. The summary of that version is repeated here.)</b></p> <p>Increases the statutory limit on the public debt from $12.394 trillion to $14.294 trillion.</p> <p><b>Title I: Statutory Pay-As-You-Go Act of 2010</b> - Statutory Pay-As-You-Go Act of 2010 - (Sec. 4) Authorizes a Pay-As-You-Go (PAYGO) Act originated in or amended by the House of Representatives to state: &quot;The budgetary effects of this Act, for the purpose of complying with the Statutory Pay-As-You-Go-Act of 2010, shall be determined by reference to the latest statement titled 'Budgetary Effects of PAYGO Legislation' for this Act, submitted for printing in the Congressional Record by the Chairman of the House Budget Committee, provided that such statement has been submitted before the vote on passage.&quot;</p> <p>Requires the inclusion of a similar statement, but with reference to the the Chairman of the Senate Budget Committee, in any PAYGO Act originated in or amended by the Senate.</p> <p>Requires a similar statement in any conference report or amendment between the chambers on a PAYGO Act, but with reference to both House and Senate Chairmen of the respective budget committees.</p> <p>Amends the Congressional Budget Act of 1974 (CBA) to require the chairs of the congressional budget committees (chairs) to request from the Director of the Congressional Budget Office (CBO) an estimate of the budgetary effects of PAYGO legislation.</p> <p>Directs the chairs to request that CBO adjust the estimate of budgetary effects of legislation that affects current policy as detailed in Sec. 7 of this title.</p> <p>Prohibits the use of any excess savings from adjustments for current policy to offset the costs of policies not detailed in Sec. 7.</p> <p>Requires the applicable chair to include in the statement titled: &quot;Budget Effects of PAYGO Legislation&quot; for such adjusted PAYGO legislation an explanation of such policy designation and adjustment.</p> <p>Requires the Office of Management and Budget (OMB) to maintain and make publicly available a continuously updated document containing two PAYGO scorecards (the first for a five-year period and the second for a 10-year period for the beginning of each respective budget year) displaying the budgetary effects of PAYGO legislation, applying certain look-back and averaging requirements. Requires OMB to display as a separate addendum the cost estimates of provisions designated in statute as emergency requirements.</p> <p>Prohibits such scorecards from including net savings from any legislation titled &quot;Community Living Assistance Services and Supports Act&quot; (establishing a federal insurance program for long-term care), if such legislation is enacted into law, or amended, subsequent to enactment of this title.</p> <p>Declares that, if a provision of direct spending or revenue legislation in a PAYGO Act is designated in statute as an emergency requirement, the amounts of new budget authority, outlays, and revenue in all fiscal years resulting from that provision shall be treated as an emergency requirement for purposes of this Act.</p> <p>Provides that when the Senate is considering a PAYGO Act, if a point of order is made by a Senator against an emergency designation in it, the provision making such a designation shall be stricken from the measure and may not be offered as an amendment from the floor. Permits waiver or suspension of such prohibition, or successful appeals from rulings of the Chair, only by an affirmative vote of three-fifths (60) of the Senate.</p> <p>(Sec. 5) Requires OMB to: (1) make an annual public PAYGO report, including a up-to-date document containing the PAYGO scorecards, within 14 business days after Congress adjourns to end a session; and (2) prepare for the President an offsetting sequestration order, which the President shall issue, if such report shows a debit on either PAYGO scorecard for the budget year.</p> <p>(Sec. 6) Prescribes requirements for calculating a sequestration for nonexempt direct spending programs, including Medicare payments and certain nonexempt mandatory programs.</p> <p>(Sec. 7) Prescribes requirements for CBO adjustments of estimates of budgetary effects of PAYGO legislation for legislation affecting current policy for: (1) payments made under title XVIII (Medicare) of the Social Security Act for physician services; (2) the Estate and Gift Tax under the Internal Revenue Code; and (3) the permanent extension of middle-class tax cuts and the Alternative Minimum Tax (AMT) relief under the Economic Growth and Tax Relief Reconciliation Act of 2001 (EGTRRA) or the Jobs and Growth Tax Relief and Reconciliation Act of 2003 (JGTRRA).</p> <p>Makes this section effective through December 31, 2011.</p> <p>(Sec. 8) Applies to this Act certain sequestration order requirements of the Balanced Budget and Emergency Deficit Control Act of 1985 (BBEDCA) (Gramm-Rudman-Hollings Act), as amended by this Act, including the authority of Members of Congress and certain individuals to request an expedited judicial review of a sequestration order.</p> <p>(Sec. 9) Makes technical and conforming amendments to the Gramm-Rudman-Hollings Act.</p> <p>(Sec. 10) Exempts from sequestration: (1) low-income subsidies and catastrophic subsidies under Part D (Voluntary Prescription Drug Benefit Program) of the Social Security Act (SSA); and (2) qualified individual (QI) premiums for Medicare cost-sharing for certain dual eligible low-income Medicare beneficiaries under SSA title XIX (Medicaid).</p> <p>(Sec. 11) Amends the Gramm-Rudman-Hollings Act to specify additional Social Security, veterans, Tier I Railroad Retirement benefits and other programs and activities exempt from a sequestration order as well as certain economic recovery programs and certain other programs to the extent that their budgetary resources are subject to obligation limitations in appropriation bills (split treatment programs).</p> <p>(Sec. 12) Declares that nothing in this title shall be construed to limit the House and Senate budget committee chairs' authority under the CBA regarding budgetary determinations and points of order. Authorizes CBO to consult with them to resolve any ambiguities in this title.</p> <p>(Sec. 13) Makes it out of order in both chambers to consider any bill or resolution pursuant to any expedited procedure to consider the recommendations of a Task Force for Responsible Fiscal Action or other commission that contains recommendations with respect to the Old-Age, Survivors, and Disability Insurance (OASDI) program under SSA title II or certain taxes received, imposed by, and collected under the Internal Revenue Code.</p> <p>Permits waiver or suspension of such prohibition, or successful appeals from rulings of the Chair, only by an affirmative vote of three-fifths (60) of the Senate.</p> <p><b>Title II: Elimination of Duplicative and Wasteful Spending</b> - (Sec. 21) Requires the Comptroller General to: (1) conduct routine investigations to identify programs, agencies, offices, and initiatives with duplicative goals and activities within Departments and governmentwide; and (2) report annually to Congress on the findings, including the cost of such duplication, and with recommendations for consolidation and elimination to reduce duplication identifying specific rescissions.</p>",['Finance Committee'],"['Appropriations', 'Budget deficits and national debt', 'Budget process', 'Congressional oversight', 'Employee benefits and pensions', 'Executive agency funding and structure', 'Government information and archives', 'Health care costs and insurance', 'House Committee on the Budget', 'Income tax rates', 'Judicial review and appeals', 'Legislative rules and procedure', 'Medicaid', 'Medicare', 'Performance measurement', 'Prescription drugs', 'Senate Committee on the Budget', 'Social security and elderly assistance', 'Transfer and inheritance taxes']","https://api.congress.gov/v3/bill/111/hres/1065?format=xml, https://api.congress.gov/v3/bill/111/sconres/13?format=xml",,Economics and Public Finance,https://www.congress.gov/111/bills/hjres45/BILLS-111hjres45enr.xml
2847,HR,111,Hiring Incentives to Restore Employment Act,https://api.congress.gov/v3/bill/111/hr/2847?format=xml,"<p>Hiring Incentives to Restore Employment Act - <b>Title I: Incentives for Hiring and Retaining Unemployed Workers</b> - (Sec. 101) Amends the Internal Revenue Code to: (1) exempt for-profit and nonprofit employers, including public institutions of higher education, from social security and railroad retirement taxes in 2010 (except for the first calendar quarter of such year) for new employees who are hired after February 3, 2010, and before January 1, 2011, and who certify that they have not worked more than 40 hours during the last 60 days; and (2) allow an increase in the general business tax credit for the retention of such employees for at least one year at specified wage levels. Prohibits any carryback of unused business tax credit amounts.</p> <p>Appropriates to the Federal Old-Age and Survivors Insurance Trust Fund and the Federal Disability Insurance Trust Fund under title II of the Social Security Act amounts necessary to cover any reduction in revenues resulting from the tax exemptions provided by this Act. </p> <p>Requires the Secretary of the Treasury to pay to U.S. possessions, including the Commonwealths of Puerto Rico and the Northern Mariana Islands, an amount equal to the loss to such possessions resulting from this tax exemption.</p> <p><b>Title II: Expensing</b> - (Sec. 201) Increases to $250,000 the expensing allowance for depreciable business assets. </p> <p><b>Title III: Qualified Tax Credit Bonds</b> - (Sec. 301) Allows a refundable tax credit to issuers of specified tax credit bonds. Defines &quot;specified tax credit bond&quot; as a new clean renewable energy bond, a qualified energy conservation bond, a qualified zone academy bond, or a qualified school construction bond. </p> <p><b>Title IV: Extension of Current Surface Transportation Program </b>- Surface Transportation Extension Act of 2010 - <b>Subtitle A: Federal-Aid Highways</b> - (Sec. 411) Continues in effect until December 31, 2010, the requirements, authorities, conditions, eligibilities, limitations, and other provisions authorized by specified federal transportation law.</p> <p>Authorizes appropriations out of the Highway Trust Fund (HTF) (other than the Mass Transit Account) for FY2010 and the period of October 1 - December 31, 2010 (first quarter of FY2011), for the federal-aid highway, surface transportation research, and transportation planning programs under the Safe, Accountable, Flexible, Efficient Transportation Equity Act: A Legacy for Users (SAFETEA-LU), with a limit on obligational authority for the programs equal to the total authorized for such programs for FY2009 (although only one-quarter of such total for the first quarter of FY2011).</p> <p>Extends the allocation of certain transportation program funds to: (1) states for specific programs, including the Interstate and National Highway System program, the Congestion Mitigation and Air Quality Improvement program, the highway safety improvement program, the Surface Transportation program, and the Highway Bridge program; and (2) the territories or Puerto Rico. </p> <p>Extends the authorization of appropriations for certain transportation research programs under title V: Research of SAFETEA-LU at FY2009 funding levels.</p> <p>(Sec. 412) Extends the authorization of appropriations for FY2010 and the first quarter of FY2011 for federal-aid highway program administrative expenses.</p> <p>(Sec. 413) Directs the Secretary of Transportation to restore certain rescinded transportation program funds to the states and to the programs from which they were rescinded. Authorizes appropriations for such programs for FY2010.</p> <p>(Sec. 414) Directs the Secretary, in reconciliation, to reduce the amount of funds allocated for a transportation program, project, or activity under this title by amounts allocated pursuant to the Continuing Appropriations Resolution, 2010.</p> <p><b>Subtitle B: National Highway Traffic Safety Administration, Federal Motor Carrier Safety Administration, and Additional Programs </b>- (Sec. 421) Amends SAFETEA-LU to extend through December 31, 2010, the authorization of appropriations for National Highway Traffic Safety Administration (NHTSA) safety programs, including: (1) highway safety research and development; (2) the occupant protection incentive grant program; (3) the safety belt performance grant program; (4) state traffic safety information system improvements; (5) the alcohol-impaired driving countermeasures incentive grant program; (6) the National Driver Register; (7) the high visibility enforcement program; (8) motorcyclist safety; (9) the child safety and child booster seat safety incentive grant program; and (10) NHTSA administrative expenses.</p> <p>Authorizes appropriations through FY2011 for: (1) drug-impaired driving enforcement; and (2) older driver safety and law enforcement training.</p> <p>(Sec. 422) Extends through December 31, 2010, the authorization of appropriations for Federal Motor Carrier Safety Administration (FMCSA) programs, including: (1) motor carrier safety grants; (2) FMCSA administrative expenses; (3) commercial driver's license program improvement grants; (4) border enforcement grants; (5) performance and registration information system management grants; (6) commercial vehicle information systems and networks deployment grants; (7) safety data improvement grants; (8) a set-aside for high priority activities that improve commercial motor vehicle safety and compliance with commercial motor vehicle safety regulations; (9) a set-aside for new entrant motor carrier audit grants; (10) commercial driver's license information system modernization; (11) FMCSA and NHTSA outreach and education; (12) the commercial motor vehicle operators grant program; (13) the FMCSA's Motor Carrier Safety Advisory Committee; and (14) the working group for development of practices and procedures to enhance federal-state relations.</p> <p>(Sec. 423) Extends through December 31, 2010, the funding for hazardous materials (hazmat) research projects.</p> <p>Amends the Dingell-Johnson Sport Fish Restoration Act to extend through December 31, 2010, the authorization of appropriations, and the current requirements for their distribution, for fish restoration and management projects.</p> <p>Extends the set-aside for administrative expenses for carrying out such projects.</p> <p><b>Subtitle C: Public Transportation Programs -</b> (Sec. 431) Extends through December 31, 2010, the allocation of capital investment grant funds for federal transit programs, including the metropolitan planning program and the state planning and research program.</p> <p>(Sec. 432) Extends the authority of the Secretary of Transportation to award urbanized area formula grants to finance the operating cost of equipment and facilities for use in public transportation in an urbanized area with a population of at least 200,000.</p> <p>(Sec. 433) Allocates amounts for formula and bus grants and capital investment grants for: (1) certain new fixed guideway capital projects; (2) new fixed guideway ferry systems and extension projects in Alaska and Hawaii; (3) payments to the Denali Commission for docks, waterfront development projects, and related transportation infrastructure; (4) ferry boats or ferry terminal facilities; (5) a set-aside for the national fuel cell bus technology development program; (6) projects in nonurbanized areas; (7) intermodal terminal projects; and (8) bus testing.</p> <p>(Sec. 434) Extends through December 31, 2010, the apportionments of: (1) nonurbanized area formula grants for public transportation on Indian reservations; and (2) capital investment grant funds for certain fixed guideway modernization projects.</p> <p>(Sec. 436) Extends through December 31, 2010, the authorization appropriations from the HTF Mass Transit Account for: (1) formula and bus grant projects, including allocations for specified projects; (2) capital investment grants; (3) transit research, including allocations for transit cooperative research programs, the National Transit Institute, the university centers program, transportation projects to comply with the Americans with Disabilities Act of 1990, the National Technical Assistance Center for senior transportation, and national research programs; and (4) administration expenses.</p> <p>(Sec. 437) Extends through December 31, 2010, certain SAFETEA-LU programs, including: (1) the contracted paratransit pilot program; (2) the public-private partnership pilot program; (3) project authorizations for final design and construction and preliminary engineering of specified fixed guideway projects; and (4) the elderly individuals and individuals with disabilities pilot program.</p> <p>Increases the obligation ceiling of amounts made available from the HTF Mass Transit Account.</p> <p>Extends through December 31, 2010, certain allocations for national research and technology programs.</p> <p><b>Subtitle D: Revenue Provisions -</b> (Sec. 441) Amends the Internal Revenue Code to repeal provisions requiring obligations in the HTF to be U.S. obligations that are not interest-bearing.</p> <p>(Sec. 442) Appropriates specified amounts as foregone interest to the Highway Account and the Mass Transit Account in the HTF. </p> <p>(Sec. 443) Allows amounts appropriated to the HTF to remain available without fiscal year limitation. </p> <p>(Sec. 444) Repeals requirements for payments from the HTF to the Treasury for: (1) certain amounts paid before July 1, 2012, relating to gasoline used on farms, gasoline used for certain non-highway purposes or by local transit systems, and fuels not used for taxable purposes; and (2) specified credits allowed for certain uses of fuel before October 1, 2011.</p> <p>(Sec. 445) Extends through 2010 authorities for expenditures from the Highway Account and the Mass Transit Account.</p> <p>(Sec. 446) Amends the Safe, Accountable, Flexible, Efficient Transportation Equity Act: Legacy for Users to set forth obligation limitations in the Highway Category and the Mass Transit Category through December 31, 2010. Prohibits any budget adjustment in the federal-aid highway program in FY2010 or FY2011.</p> <p><b>Subtitle E: Disadvantaged Business Enterprises - </b>(Sec. 451) Requires at least 10% of federal-aid highway, public transportation, and transportation research program funds under SAFETEA-LU and highway safety research and development program funds to be expended through small business concerns owned and controlled by socially and economically disadvantaged individuals (disadvantaged business enterprises).</p> <p>Requires states to: (1) compile a list of small business concerns annually; and (2) notify the Secretary of Transportation of the percentage of such concerns that are controlled by women, by socially and economically disadvantaged individuals (other than women), and by individuals who are women and socially and economically disadvantaged. Requires the Secretary to establish minimum uniform criteria for state governments to use in certifying a small business concern as a disadvantaged business enterprise.</p> <p><b>Title V: Offset Provisions - Subtitle A: Foreign Account Tax Compliance - Part I: Increased Disclosure of Beneficial Owners</b> - (Sec. 501) Amends the Internal Revenue Code to revise and add reporting and other requirements relating to income from assets held abroad, including by: (1) requiring foreign financial and nonfinancial institutions to withhold 30% of payments made to such institutions by U.S. individuals unless such institutions agree to disclose the identity of such individuals and report on their bank transactions; and (2) denying a tax deduction for interest on non-registered bonds issued outside the United States.</p> <p><b>Part II: Under Reporting With Respect to Foreign Assets</b> - (Sec. 511) Requires any individual who holds more than $50,000 in a depository or custodial account maintained by a foreign financial institution to report on any such account.</p> <p>(Sec. 512) Imposes an enhanced tax penalty for underpayments attributable to undisclosed foreign financial assets.</p> <p>(Sec. 513) Extends the limitation period for assessment of underpayments with respect to assets held outside the United States.<br> </p> <p><b>Part III: Other Disclosure Provisions</b> - (Sec. 521) Requires U.S. shareholders of a passive foreign investment company to file annual informational returns.</p> <p>(Sec. 522) Allows the Secretary of the Treasury to require certain financial institutions to file returns related to withholding on transactions involving foreign persons on magnetic media (currently, electronic filing is required only for taxpayers filing at least 250 returns).<br> </p> <p><b>Part IV: Provisions Related to Foreign </b> <b>Trusts</b> - (Sec. 531) Deems a foreign trust as having a U.S. beneficiary if such beneficiary's interest in the trust is contingent on a future event or such beneficiary directly or indirectly transfers property to such trust or uses trust property without paying compensation to the trust. Imposes reporting requirements on owners of foreign trusts and sets forth tax penalties for failure to report on transfers to and distributions from such trusts.<br> </p> <p><b>Part V: Substitute Dividends and Dividend Equivalent Payments Received by Foreign Persons Treated as Dividends</b> - (Sec. 541) Treats a dividend equivalent payment as a dividend from a source within the United States for purposes of taxation of income from foreign sources and tax withholding rules applicable to foreign persons.</p> <p><b>Subtitle B: Delay in Application of Worldwide Allocation of Interest</b> - (Sec. 551) Delays until 2021 the application of special rules for the worldwide allocation of interest for purposes of computing the limitation on the foreign tax credit.</p> <p><b>Subtitle C: Budgetary Provisions</b> - (Sec. 561) Increases the required estimated tax payments for corporations with assets of not less than $1 billion in specified calendar quarters. </p> <p>(Sec. 562) Provides criteria for compliance with the Statutory Pay-As-You-Go Act of 2010.</p>","['Appropriations Committee', 'Appropriations Committee']","['Abortion', 'Advisory bodies', 'Aging', 'Air quality', 'Alaska', 'Alternative and renewable resources', 'Appropriations', 'Arctic and polar regions', 'Assault and harassment offenses', 'Aviation and airports', 'Bank accounts, deposits, capital', 'Broadcasting, cable, digital technologies', 'Canada', 'Caribbean area', 'Census and government statistics', 'Child safety and welfare', 'Commission on Civil Rights', 'Competition and antitrust', 'Competitiveness, trade promotion, trade deficits']","https://api.congress.gov/v3/bill/111/hr/2391?format=xml, https://api.congress.gov/v3/bill/111/s/3636?format=xml, https://api.congress.gov/v3/bill/111/hres/1137?format=xml, https://api.congress.gov/v3/bill/111/hr/3288?format=xml, https://api.congress.gov/v3/bill/111/hres/544?format=xml, https://api.congress.gov/v3/bill/111/hres/552?format=xml, https://api.congress.gov/v3/bill/111/hres/976?format=xml","Rep. Mollohan, Alan B. [D-WV-1]",Economics and Public Finance,https://www.congress.gov/111/bills/hr2847/BILLS-111hr2847enr.xml
692,S,111,A bill to provide that claims of the United States to certain documents relating to Franklin Delano Roosevelt shall be treated as waived and relinquished in certain circumstances.,https://api.congress.gov/v3/bill/111/s/692?format=xml,"<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p><p>Requires any claim of the United States to certain property relating to Franklin Delano Roosevelt, his family, or staff to be treated as having been waived and relinquished on the day before any person makes a gift of such property to the National Archives and Records Administration (NARA).</p><p>Describes such property as any part of the collection of documents, papers, and memorabilia relating to Roosevelt or any member of his family or staff that was in the possession of Grace Tully and retained by her at the time of her death.</p><p>Specifies that the date of such gift is any date after the physical delivery of the property to NARA as specified by the donor.<br> </p>",['Homeland Security and Governmental Affairs Committee'],"['Government information and archives', 'Presidential administrations', 'U.S. history']",https://api.congress.gov/v3/bill/111/hr/1506?format=xml,"Sen. Schumer, Charles E. [D-NY]",Government Operations and Politics,https://www.congress.gov/111/bills/s692/BILLS-111s692enr.xml
2968,S,111,Trademark Technical and Conforming Amendment Act of 2010,https://api.congress.gov/v3/bill/111/s/2968?format=xml,"<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Trademark Technical and Conforming Amendment Act of 2010 - Amends the Act commonly known as the Lanham Act to replace references to &quot;registrant&quot; with references to &quot;owner&quot; in provisions: (1) making a certificate of registration prima facie evidence of the validity, registration, ownership, and exclusive rights to use a mark; and (2) relating to a registrant's surrender, cancellation, or amendment of registration. Requires, in the event of a surrender, cancellation, or amendment, that an appropriate entry be made on the records of the United States Patent and Trademark Office (USPTO) and on the certificate of registration. (Current law allows, when the certificate is lost or destroyed, such an entry to be made on a certified copy of the certificate.)</p> <p>Requires, when the USPTO makes a material mistake in a registration, that a certificate stating the fact and nature of the mistake be attached to each printed copy of the registration. (Current law requires that the certificate stating the mistake be attached to each printed copy of the registration certificate.)</p> <p>Replaces references to &quot;registrant&quot; with references to &quot;owner&quot; in provisions relating to the incontestability of the right to use a mark under certain conditions.</p> <p>Allows the holder of an international registration to appeal to the U.S. Court of Appeals for the Federal Circuit if the holder is dissatisfied with the decision of the Director or Trademark Trial and Appeal Board.</p> <p>Modifies requirements regarding the duration of registrations and related affidavits and fees.</p> <p>Requires a study and report to Congress on: (1) the extent to which small businesses may be harmed by litigation tactics by corporations attempting to enforce trademark rights beyond a reasonable interpretation of the scope of the rights granted to the trademark owner; and (2) the best use of federal government services to protect trademarks and prevent counterfeiting.</p>",['Judiciary Committee'],"['Civil actions and liability', 'Congressional oversight', 'Fraud offenses and financial crimes', 'Government studies and investigations', 'Intellectual property', 'Small business']",https://api.congress.gov/v3/bill/111/hr/4515?format=xml,"Sen. Leahy, Patrick J. [D-VT]",Commerce,https://www.congress.gov/111/bills/s2968/BILLS-111s2968enr.xml
4508,HR,111,"To provide for an additional temporary extension of programs under the Small Business Act and the Small Business Investment Act of 1958, and for other purposes.",https://api.congress.gov/v3/bill/111/hr/4508?format=xml,"<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Extends through April 30, 2010, under the same terms and conditions, the authorization for any program, authority, or provision, including any pilot program, that is currently authorized through January 31, 2010, under the Small Business Act or the Small Business Investment Act of 1958.</p>",['Small Business Committee'],"['Business investment and capital', 'Government lending and loan guarantees', 'Minority and disadvantaged businesses', 'Public contracts and procurement', 'Securities', 'Small business', 'Women in business']","https://api.congress.gov/v3/bill/111/hr/3614?format=xml, https://api.congress.gov/v3/bill/111/hr/5849?format=xml, https://api.congress.gov/v3/bill/111/s/1513?format=xml, https://api.congress.gov/v3/bill/111/s/1929?format=xml, https://api.congress.gov/v3/bill/111/s/3253?format=xml, https://api.congress.gov/v3/bill/111/s/3839?format=xml","Rep. Velazquez, Nydia M. [D-NY-12]",Commerce,https://www.congress.gov/111/bills/hr4508/BILLS-111hr4508enr.xml
1299,HR,111,United States Capitol Police Administrative Technical Corrections Act of 2009,https://api.congress.gov/v3/bill/111/hr/1299?format=xml,"<p>United States Capitol Police Administrative Technical Corrections Act of 2009 - (Sec. 2) Makes technical amendments to the Legislative Branch Appropriations Act, 2001 with respect to the Chief Administrative Officer (CAO) of the Capitol Police. Requires appointment of the CAO without regard to political affiliation. Repeals requirements that the Comptroller General be involved in the process of hiring and evaluating the CAO. </p> <p>Authorizes the Chief of the Capitol Police to: (1) suspend with or without pay, and to discipline, employees; and (2) terminate an officer or employee after notifying and obtaining the approval of the Capitol Police Board.</p> <p>Amends the Legislative Branch Appropriations Act of: (1) 2004 to grant legal representation authority to the Employment Counsel to the Chief of Police (current law grants such authority to the Employment Counsel of the United States Capitol Police Board); and (2) 2005 and 2008 to require advance notification of the House and Senate Administration (as well as Appropriation) Committees regarding the deployment of an officer outside the areas of jurisdiction of the Capitol Police or advance payments for subscription services.</p> <p>(Sec. 3) Establishes a General Counsel to the Chief of Police and the U.S. Capitol Police, who shall be appointed by the Chief (after consultation with the Capitol Police Board) without regard to political affiliation.<br> </p> <p>(Sec. 5) Prohibits lump sum payments to terminated U.S. Capitol Police officers or employees for unused compensatory time, except as permitted under the Congressional Accountability Act of 1995.</p> <p>Authorizes the Chief of Police to provide overtime compensation in the form of additional pay or compensatory time off for officers and employees exempt from the Fair Labor Standards Act of 1938 if: (1) there are special circumstances; (2) the Chief has established a monetary value for the work; and (3) the sum of the total compensation paid for the overtime work and the total regular compensation paid with respect to the pay period involved is limited to the cap on the aggregate sum of annual compensation that may be paid during that year, as allocated on a per pay period basis consistent with the Capitol Police Board's premium pay regulations.</p> <p>(Sec. 6) Repeals provisions requiring U.S. Capitol Police officers to purchase their own uniforms.</p> <p>(Sec. 7) Expands the definition, for purposes of provisions regarding federal government organization and employees, of: (1) &quot;congressional employee&quot; to include an employee of the U.S. Capitol Police; and (2) &quot;agency in the legislative branch&quot; to include the U.S. Capitol Police.</p> <p>Includes the U.S. Capitol Police within the scope of provisions pertaining to: (1) dual pay from more than one position; and (2) fees for jury and witness service.</p> <p>(Sec. 8) Grants the Sergeant-at-Arms and Doorkeeper of the Senate the same law enforcement authority, including the authority to carry firearms, as a member of the U.S. Capitol Police, provided that they have the following qualifications: (1) a minimum of five years experience as a law enforcement officer before beginning service as Sergeant-at-Arms and Doorkeeper of the Senate; (2) current certification in the use of firearms by the appropriate federal law enforcement entity or an equivalent nonfederal entity; and (3) any other firearms qualification required for members of the U.S. Capitol Police.</p> <p>(Sec. 9) Travel Promotion Act of 2009 - Establishes the Corporation for Travel Promotion as an independent nonprofit corporation. Makes the Corporation subject to the provisions of the District of Columbia Nonprofit Corporation Act. Expresses the sense of Congress that the Corporation should not engage in lobbying activities.</p> <p>Requires the Corporation, among other things, to provide useful information to people interested in traveling to the United States, counter and correct misperceptions regarding U.S. entry policy, and promote U.S. travel. Requires the Corporation to develop and maintain a publicly accessible website.</p> <p>Requires the Corporation to establish annual objectives and an annual marketing plan and to submit an annual Corporation activities report to Congress.</p> <p>Establishes in the Treasury the Travel Promotion Fund and requires non-federal matching funds.</p> <p>Amends the Immigration and Nationality Act to require (under current law, authorize) the Secretary of Homeland Security (DHS) to establish and collect a fee for the use of an electronic data sharing system concerning the admissibility of certain aliens into the United States that will ensure recovery of the full costs of providing and administering such system. Terminates such fee following FY2014.</p> <p>Authorizes the Corporation to impose an annual assessment on U.S. members of the travel and tourism industry represented on the Board of Directors of the Corporation.</p> <p>Amends the International Travel Act of 1961 to establish in the Department of Commerce the Office of Travel Promotion, to be headed by a Director.</p> <p>Requires that the Office of Travel and Tourism Industries expand its research and development activities to promote international travel to the United States. Authorizes appropriations.</p>","['Homeland Security Committee', 'Rules and Administration Committee', 'Committee on House Administration']","['Congressional agencies', 'Congressional officers and employees', 'Congressional oversight', 'Department of Commerce', 'Executive agency funding and structure', 'Federal officials', 'Government employee pay, benefits, personnel management', 'Government information and archives', 'Government trust funds', 'Immigration status and procedures', 'Law enforcement administration and funding', 'Law enforcement officers', 'Lawyers and legal services', 'Research and development', 'Travel and tourism', 'User charges and fees']","https://api.congress.gov/v3/bill/111/s/1023?format=xml, https://api.congress.gov/v3/bill/111/hres/896?format=xml","Rep. Brady, Robert A. [D-PA-1]",Congress,https://www.congress.gov/111/bills/hr1299/BILLS-111hr1299enr.xml
1774,S,111,A bill for the relief of Hotaru Nakama Ferschke.,https://api.congress.gov/v3/bill/111/s/1774?format=xml,No summary available,['Judiciary Committee'],[],,"Sen. Webb, Jim [D-VA]",Private Legislation,https://www.congress.gov/111/bills/s1774/BILLS-111s1774enr.xml
4010,S,111,A bill for the relief of Shigeru Yamada.,https://api.congress.gov/v3/bill/111/s/4010?format=xml,No summary available,[],[],https://api.congress.gov/v3/bill/111/s/124?format=xml,"Sen. Feinstein, Dianne [D-CA]",Private Legislation,https://www.congress.gov/111/bills/s4010/BILLS-111s4010enr.xml
