division_number,division_header,title_number,title_header,subtitle,part,section_number,section_header,text
,,I,Modernizing definitions and programs under the Administration on Aging,,,216.,Authorization of appropriations,"(a) (a) In general For purposes of carrying out this Act, there are authorized to be appropriated for administration, salaries, and expenses of the Administration $43,937,410 for fiscal year 2020, $46,573,655 for fiscal year 2021, $49,368,074 for fiscal year 2022, $52,330,158 for fiscal year 2023, and $55,469,968 for fiscal year 2024.."
,,I,Modernizing definitions and programs under the Administration on Aging,,,216.,Authorization of appropriations,"(b) (b) Additional authorizations There are authorized to be appropriated— (1) (1) to carry out section 202(a)(21) (relating to the National Eldercare Locator Service), $2,180,660 for fiscal year 2020, $2,311,500 for fiscal year 2021, $2,450,190 for fiscal year 2022, $2,597,201 for fiscal year 2023, and $2,753,033 for fiscal year 2024; (2) (2) to carry out section 215, $1,988,060 for fiscal year 2020, $2,107,344 for fiscal year 2021, $2,233,784 for fiscal year 2022, $2,367,811 for fiscal year 2023, and $2,509,880 for fiscal year 2024; (3) (3) to carry out section 202 (relating to Elder Rights Support Activities under this title), $1,371,740 for fiscal year 2020, $1,454,044 for fiscal year 2021, $1,541,287 for fiscal year 2022, $1,633,764 for fiscal year 2023, and $1,731,790 for fiscal year 2024; and (4) (4) to carry out section 202(b) (relating to the Aging and Disability Resource Centers), $8,687,330 for fiscal year 2020, $9,208,570 for fiscal year 2021, $9,761,084 for fiscal year 2022, $10,346,749 for fiscal year 2023, and $10,967,554 for fiscal year 2024.."
,,I,Modernizing definitions and programs under the Administration on Aging,,,216.,Authorization of appropriations,"(1) (1) to carry out section 202(a)(21) (relating to the National Eldercare Locator Service), $2,180,660 for fiscal year 2020, $2,311,500 for fiscal year 2021, $2,450,190 for fiscal year 2022, $2,597,201 for fiscal year 2023, and $2,753,033 for fiscal year 2024;."
,,I,Modernizing definitions and programs under the Administration on Aging,,,216.,Authorization of appropriations,"(2) (2) to carry out section 215, $1,988,060 for fiscal year 2020, $2,107,344 for fiscal year 2021, $2,233,784 for fiscal year 2022, $2,367,811 for fiscal year 2023, and $2,509,880 for fiscal year 2024;."
,,I,Modernizing definitions and programs under the Administration on Aging,,,216.,Authorization of appropriations,"(3) (3) to carry out section 202 (relating to Elder Rights Support Activities under this title), $1,371,740 for fiscal year 2020, $1,454,044 for fiscal year 2021, $1,541,287 for fiscal year 2022, $1,633,764 for fiscal year 2023, and $1,731,790 for fiscal year 2024; and."
,,I,Modernizing definitions and programs under the Administration on Aging,,,216.,Authorization of appropriations,"(4) (4) to carry out section 202(b) (relating to the Aging and Disability Resource Centers), $8,687,330 for fiscal year 2020, $9,208,570 for fiscal year 2021, $9,761,084 for fiscal year 2022, $10,346,749 for fiscal year 2023, and $10,967,554 for fiscal year 2024.."
,,I,Modernizing definitions and programs under the Administration on Aging,,,103.,Aging and Disability Resource Centers,"(1) (1) in the matter preceding subparagraph (A), by inserting , in collaboration with (as appropriate) area agencies on aging, centers for independent living (as described in part C of chapter 1 of title VII of the Rehabilitation Act of 1973 ( 29 U.S.C. 796f et seq.)), and other aging or disability entities after provides ;."
,,I,Modernizing definitions and programs under the Administration on Aging,,,103.,Aging and Disability Resource Centers,"(2) (2) in subparagraph (B)— (A) (A) by inserting services, supports, and after plan for long-term ; and (B) (B) by inserting and choices after desires ; and."
,,I,Modernizing definitions and programs under the Administration on Aging,,,103.,Aging and Disability Resource Centers,"(A) (A) by inserting services, supports, and after plan for long-term ; and."
,,I,Modernizing definitions and programs under the Administration on Aging,,,103.,Aging and Disability Resource Centers,(B) (B) by inserting and choices after desires ; and.
