division_number,division_header,title_number,title_header,subtitle,part,section_number,section_header,text
,,,,,,2.,Sense of congress,(1) (1) identifying the origin of Coronavirus Disease 2019 (COVID–19) is critical for preventing a similar pandemic from occurring in the future;.
,,,,,,2.,Sense of congress,(2) (2) there is reason to believe the COVID–19 pandemic may have originated at the Wuhan Institute of Virology; and.
,,,,,,2.,Sense of congress,"(3) (3) the Director of National Intelligence should declassify and make available to the public as much information as possible about the origin of COVID–19 so the United States and like-minded countries can— (A) (A) identify the origin of COVID–19 as expeditiously as possible, and (B) (B) use that information to take all appropriate measures to prevent a similar pandemic from occurring again.."
,,,,,,2.,Sense of congress,"(A) (A) identify the origin of COVID–19 as expeditiously as possible, and."
,,,,,,2.,Sense of congress,(B) (B) use that information to take all appropriate measures to prevent a similar pandemic from occurring again..
,,,,,,3.,Declassification of information related to the origin of COVID–19,"(1) (1) declassify any and all information relating to potential links between the Wuhan Institute of Virology and the origin of the Coronavirus Disease 2019 (COVID–19), including— (A) (A) activities performed by the Wuhan Institute of Virology with or on behalf of the People’s Liberation Army; (B) (B) coronavirus research or other related activities performed at the Wuhan Institute of Virology prior to the outbreak of COVID–19; and (C) (C) researchers at the Wuhan Institute of Virology who fell ill in autumn 2019, including for any such researcher— (i) (i) the researcher’s name; (ii) (ii) the researcher’s symptoms; (iii) (iii) the date of the onset of the researcher’s symptoms; (iv) (iv) the researcher’s role at the Wuhan Institute of Virology; (v) (v) whether the researcher was involved with or exposed to coronavirus research at the Wuhan Institute of Virology; (vi) (vi) whether the researcher visited a hospital while they were ill; and (vii) (vii) a description of any other actions taken by the researcher that may suggest they were experiencing a serious illness at the time; and."
,,,,,,3.,Declassification of information related to the origin of COVID–19,(A) (A) activities performed by the Wuhan Institute of Virology with or on behalf of the People’s Liberation Army;.
,,,,,,3.,Declassification of information related to the origin of COVID–19,(B) (B) coronavirus research or other related activities performed at the Wuhan Institute of Virology prior to the outbreak of COVID–19; and.
,,,,,,3.,Declassification of information related to the origin of COVID–19,"(C) (C) researchers at the Wuhan Institute of Virology who fell ill in autumn 2019, including for any such researcher— (i) (i) the researcher’s name; (ii) (ii) the researcher’s symptoms; (iii) (iii) the date of the onset of the researcher’s symptoms; (iv) (iv) the researcher’s role at the Wuhan Institute of Virology; (v) (v) whether the researcher was involved with or exposed to coronavirus research at the Wuhan Institute of Virology; (vi) (vi) whether the researcher visited a hospital while they were ill; and (vii) (vii) a description of any other actions taken by the researcher that may suggest they were experiencing a serious illness at the time; and."
,,,,,,3.,Declassification of information related to the origin of COVID–19,(i) (i) the researcher’s name;.
,,,,,,3.,Declassification of information related to the origin of COVID–19,(ii) (ii) the researcher’s symptoms;.
,,,,,,3.,Declassification of information related to the origin of COVID–19,(iii) (iii) the date of the onset of the researcher’s symptoms;.
,,,,,,3.,Declassification of information related to the origin of COVID–19,(iv) (iv) the researcher’s role at the Wuhan Institute of Virology;.
,,,,,,3.,Declassification of information related to the origin of COVID–19,(v) (v) whether the researcher was involved with or exposed to coronavirus research at the Wuhan Institute of Virology;.
,,,,,,3.,Declassification of information related to the origin of COVID–19,(vi) (vi) whether the researcher visited a hospital while they were ill; and.
,,,,,,3.,Declassification of information related to the origin of COVID–19,(vii) (vii) a description of any other actions taken by the researcher that may suggest they were experiencing a serious illness at the time; and.
,,,,,,3.,Declassification of information related to the origin of COVID–19,(2) (2) submit to Congress an unclassified report that contains— (A) (A) all of the information described under paragraph (1); and (B) (B) only such redactions as the Director determines necessary to protect sources and methods..
,,,,,,3.,Declassification of information related to the origin of COVID–19,(A) (A) all of the information described under paragraph (1); and.
,,,,,,3.,Declassification of information related to the origin of COVID–19,(B) (B) only such redactions as the Director determines necessary to protect sources and methods..
