Number,Type,Congress,Title,Url
141,S,118,Senator Elizabeth Dole 21st Century Veterans Healthcare and Benefits Improvement Act,https://api.congress.gov/v3/bill/118/s/141?format=xml
656,S,118,Veteran Improvement Commercial Driver License Act of 2023,https://api.congress.gov/v3/bill/118/s/656?format=xml
3764,S,118,United States Commission on International Religious Freedom Reauthorization Act of 2024,https://api.congress.gov/v3/bill/118/s/3764?format=xml
3998,S,118,Federal Judiciary Stabilization Act of 2024,https://api.congress.gov/v3/bill/118/s/3998?format=xml
6492,HR,118,EXPLORE Act,https://api.congress.gov/v3/bill/118/hr/6492?format=xml
7,HJRES,118,"Relating to a national emergency declared by the President on March 13, 2020.",https://api.congress.gov/v3/bill/118/hjres/7?format=xml
474,S,118,REPORT Act,https://api.congress.gov/v3/bill/118/s/474?format=xml
1858,S,118,Disaster Assistance Deadlines Alignment Act,https://api.congress.gov/v3/bill/118/s/1858?format=xml
5861,HR,118,BRIDGE for Workers Act,https://api.congress.gov/v3/bill/118/hr/5861?format=xml
5103,HR,118,FISHES Act,https://api.congress.gov/v3/bill/118/hr/5103?format=xml
82,HR,118,Social Security Fairness Act of 2023,https://api.congress.gov/v3/bill/118/hr/82?format=xml
5863,HR,118,Federal Disaster Tax Relief Act of 2023,https://api.congress.gov/v3/bill/118/hr/5863?format=xml
9076,HR,118,Supporting America’s Children and Families Act,https://api.congress.gov/v3/bill/118/hr/9076?format=xml
4367,S,118,Thomas R. Carper Water Resources Development Act of 2024,https://api.congress.gov/v3/bill/118/s/4367?format=xml
9322,HR,118,"To designate the facility of the United States Postal Service located at 675 Wolf Ledges Parkway in Akron, Ohio, as the ""Judge James R. Williams Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/9322?format=xml
4984,HR,118,D.C. Robert F. Kennedy Memorial Stadium Campus Revitalization Act,https://api.congress.gov/v3/bill/118/hr/4984?format=xml
2181,S,118,Keeping Military Families Together Act of 2024,https://api.congress.gov/v3/bill/118/s/2181?format=xml
10065,HR,118,"To designate the facility of the United States Postal Service located at 802 North Tancahua Street in Corpus Christi, Texas, as the ""Captain Robert E. 'Bob' Batterson Post Office"".",https://api.congress.gov/v3/bill/118/hr/10065?format=xml
9775,HR,118,"To designate the facility of the United States Postal Service located at 119 North Anderson Street in Elwood, Indiana, as the ""Officer Noah Jacob Shahnavaz Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/9775?format=xml
9600,HR,118,"To designate the facility of the United States Postal Service located at 119 Main Street in Plains, Georgia, as the ""Jimmy and Rosalynn Carter Post Office"".",https://api.congress.gov/v3/bill/118/hr/9600?format=xml
9592,HR,118,Federal Register Modernization Act of 2024,https://api.congress.gov/v3/bill/118/hr/9592?format=xml
9580,HR,118,"To designate the facility of the United States Postal Service located at 2777 Brentwood Road in Raleigh, North Carolina, as the ""Millie Dunn Veasey Post Office"".",https://api.congress.gov/v3/bill/118/hr/9580?format=xml
9549,HR,118,"To designate the facility of the United States Postal Service located at 125 South 1st Avenue in Hillsboro, Oregon, as the ""Elizabeth Furse Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/9549?format=xml
9544,HR,118,"To designate the facility of the United States Postal Service located at 340 South Loudon Avenue in Baltimore, Maryland, as the ""United States Representative Elijah E. Cummings Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/9544?format=xml
9487,HR,118,House Office of Legislative Counsel Modernization Act,https://api.congress.gov/v3/bill/118/hr/9487?format=xml
9421,HR,118,"To designate the facility of the United States Postal Service located at 108 North Main Street in Bucoda, Washington, as the ""Mayor Rob Gordon Post Office"".",https://api.congress.gov/v3/bill/118/hr/9421?format=xml
9285,HR,118,"To designate the facility of the United States Postal Service located at 3913 Leland Avenue Northwest in Comstock Park, Michigan, as the ""Captain Miguel Justin Nava Post Office"".",https://api.congress.gov/v3/bill/118/hr/9285?format=xml
9124,HR,118,"To name the Department of Veterans Affairs community-based outpatient clinic in Auburn, California, as the ""Louis A. Conter VA Clinic"".",https://api.congress.gov/v3/bill/118/hr/9124?format=xml
8976,HR,118,"To designate the facility of the United States Postal Service located at 20 West White Street in Millstadt, Illinois, as the ""Corporal Matthew A. Wyatt Post Office"".",https://api.congress.gov/v3/bill/118/hr/8976?format=xml
8919,HR,118,"To designate the facility of the United States Postal Service located at 151 Highway 74 South in Peachtree City, Georgia, as the ""SFC Shawn McCloskey Post Office"".",https://api.congress.gov/v3/bill/118/hr/8919?format=xml
8909,HR,118,"To designate the facility of the United States Postal Service located at 82-6110 Mamalahoa Highway in Captain Cook, Hawaii, as the ""Army 1st Lt. John Kuulei Kauhaihao Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/8909?format=xml
8868,HR,118,"To designate the facility of the United States Postal Service located at 609 Portsmouth Avenue in Greenland, New Hampshire, as the ""Chief Michael Maloney Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/8868?format=xml
8841,HR,118,"To designate the facility of the United States Postal Service located at 114 Center Street East in Roseau, Minnesota, as the ""Floyd B. Olson Post Office"".",https://api.congress.gov/v3/bill/118/hr/8841?format=xml
8717,HR,118,"To designate the facility of the United States Postal Service located at 20 West Main Street in Santaquin, Utah, as the ""SGT Bill Hooser Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/8717?format=xml
8667,HR,118,"To rename the community-based outpatient clinic of the Department of Veterans Affairs in Cadillac, Michigan, as the ""Duane E. Dewey VA Clinic"".",https://api.congress.gov/v3/bill/118/hr/8667?format=xml
8666,HR,118,"To amend title 28, United States Code, to authorize holding court for the Central Division of Utah in Moab and Monticello.",https://api.congress.gov/v3/bill/118/hr/8666?format=xml
8641,HR,118,"To designate the facility of the United States Postal Service located at 401 Main Street in Brawley, California, as the ""Walter Francis Ulloa Memorial Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/8641?format=xml
8057,HR,118,"To designate the facility of the United States Postal Service located at 9317 Bolsa Avenue in Westminster, California, as the ""Little Saigon Vietnam War Veterans Memorial Post Office"".",https://api.congress.gov/v3/bill/118/hr/8057?format=xml
8012,HR,118,Jackie Robinson Ballpark National Commemorative Site Act,https://api.congress.gov/v3/bill/118/hr/8012?format=xml
7938,HR,118,Klamath Basin Water Agreement Support Act of 2024,https://api.congress.gov/v3/bill/118/hr/7938?format=xml
7893,HR,118,"To designate the facility of the United States Postal Service located at 306 Pickens Street in Marion, Alabama, as the ""Albert Turner, Sr. Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/7893?format=xml
7607,HR,118,"To designate the facility of the United States Postal Service located at Block 1025, Lots 18 & 19, Northeast Corner of US Route 9 South and Main Street in the Township of Middle, County of Cape May, New Jersey, as the ""George Henry White Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/7607?format=xml
7606,HR,118,"To designate the facility of the United States Postal Service located at 1087 Route 47 South in Rio Grande, New Jersey, as the ""Carlton H. Hand Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/7606?format=xml
