Number,Type,Congress,Title,Url,Summary,Committees,Topics,Related Bills,Sponsor,Subject,Text Access
4054,S,116,United States Grain Standards Reauthorization Act of 2020,https://api.congress.gov/v3/bill/116/s/4054?format=xml,"<p><b>United States Grain Standards Reauthorization Act of 2020</b></p> <p>This bill reauthorizes through FY2025 the United States Grain Standards Act, which authorizes the Department of Agriculture (USDA) to establish official marketing standards for grains, and to provide procedures for grain inspection and weighing.</p> <p>Additionally, the bill</p> <ul> <li>requires a state agency to notify customers or applicants for weighing or inspection services if it intends to temporarily discontinue the services; </li> <li>extends the authority of USDA to collect fees to fund official inspections and provide official weighing services through FY2025;</li> <li>extends the cap on the administrative and supervisory costs through FY2025;</li> <li> requires USDA to publish quarterly reports describing data from the tests and inspections for intrinsic quality factors (including protein, oil, and starch) and food safety factors;</li> <li>requires USDA to publish quarterly reports including the number of certain waivers and exceptions that were requested and granted; </li> <li>prohibits the use of user fees for activities related to the development or maintenance of grain standards, or for any activity that is not directly related to the performance of an official inspection or weighing service;</li> <li>provides that members of the advisory committee with respect to the act may serve up to two consecutive terms and extends the authorization of the committee through FY2025; and</li> <li>requires USDA to conduct a comprehensive nationwide review of the official agency geographical areas.</li> </ul>","['Agriculture, Nutrition, and Forestry Committee']","['Advisory bodies', 'Agricultural marketing and promotion', 'Congressional oversight', 'Food supply, safety, and labeling', 'Government information and archives', 'Grain', 'State and local government operations', 'User charges and fees']",,"Sen. Roberts, Pat [R-KS]",Agriculture and Food,https://www.congress.gov/116/bills/s4054/BILLS-116s4054enr.xml
221,HR,116,Special Envoy to Monitor and Combat Anti-Semitism Act,https://api.congress.gov/v3/bill/116/hr/221?format=xml,"<p><b>Special Envoy to Monitor and Combat Anti-Semitism Act</b></p> <p>This bill establishes the Special Envoy for Monitoring and Combating anti-Semitism as an ambassador-rank official, appointed by the President, by and with the advice and consent of the Senate, who leads the Office to Monitor and Combat anti-Semitism within the Department of State. (Under current law, the special envoy is appointed by the Secretary of State.) The President may nominate the special envoy from among State Department officers and employees.</p> <p>The special envoy shall be the primary advisor in the government relating to monitoring and combating anti-Semitism in foreign countries. The individual shall be of recognized distinction in combating anti-Semitism.</p>","['Foreign Relations Committee', 'Foreign Affairs Committee']","['Department of State', 'Diplomacy, foreign officials, Americans abroad', 'Executive agency funding and structure', 'Federal officials', 'Human rights', 'Racial and ethnic relations', 'Religion']",https://api.congress.gov/v3/bill/116/s/238?format=xml,"Rep. Smith, Christopher H. [R-NJ-4]",International Affairs,https://www.congress.gov/116/bills/hr221/BILLS-116hr221enr.xml
209,S,116,PROGRESS for Indian Tribes Act,https://api.congress.gov/v3/bill/116/s/209?format=xml,"<p><b>Practical Reforms and Other Goals To Reinforce the Effectiveness of Self-Governance and Self-Determination for Indian Tribes Act of 2019 or the PROGRESS for Indian Tribes Act</b></p> <p>This bill replaces the Tribal Self-Governance Demonstration Project with the Tribal Self-Governance Program. Under the program, Native American tribes or organizations may receive grants to plan for participation in self-governance and to negotiate the terms of participation.</p> <p>In addition, the bill revises the Department of the Interior's process for approving self-governance compacts and funding agreements with tribes. Interior must negotiate contracts and funding agreements to maximize implementation of the self-governance policy. The bill sets forth requirements for tribes participating in self-governance with respect to conflicts of interest, audits, redesign and consolidation of programs, retrocession of programs, non-duplication&nbsp;of funding, and records.</p> <p>Funding agreements must include provisions for Interior to monitor the performance of trust functions by the tribe and to reassume a program and funding under specified circumstances. </p> <p>Tribes participating in self-governance may elect to assume some federal responsibilities with respect to certain construction projects.</p> <p>The bill prohibits&nbsp;obligating a tribe&nbsp;to continue performance of a compact or funding agreement that provides insufficient funding.</p>","['Natural Resources Committee', 'Indian and Insular Affairs Subcommittee', 'Indian Affairs Committee']","['Administrative law and regulatory procedures', 'Administrative remedies', 'Civil actions and liability', 'Department of the Interior', 'Evidence and witnesses', 'Federal-Indian relations', 'Indian claims', 'Indian lands and resources rights', 'Indian social and development programs', 'Judicial procedure and administration', 'Judicial review and appeals', 'Public contracts and procurement']",https://api.congress.gov/v3/bill/116/hr/2031?format=xml,"Sen. Hoeven, John [R-ND]",Native Americans,https://www.congress.gov/116/bills/s209/BILLS-116s209enr.xml
294,S,116,Native American Business Incubators Program Act,https://api.congress.gov/v3/bill/116/s/294?format=xml,"<p><b>Native American Business Incubators Program Act </b></p> <p>This bill establishes a grant program to provide business incubation and other business services to Native American entrepreneurs and businesses. </p> <p>(Sec. 4) Specifically, the bill requires the Department of the Interior to establish a grant program in the Office of Indian Energy and Economic Development for establishing and operating business incubators that serve Native American communities. A business incubator is an organization that (1) provides physical workspace and facilities resources to start-ups and established businesses, and (2) is designed to accelerate the growth and success of businesses through a variety of business support resources and services. Grant applicants may be institutions of higher education, private nonprofits, Native American tribes, or tribal nonprofits.</p> <p>Interior must issue a grant for a three-year term and may renew a grant for up to three more years.</p> <p>Grant recipients must generally provide a nonfederal contribution of at least 25% of the annual grant disbursement each year; however, Interior may waive this requirement under certain circumstances. Further, grant recipients must provide a nonfederal contribution of at least 33% of a grant renewal. <p>(Sec. 6) Interior must facilitate the establishment of relationships between grant recipients and educational institutions serving Native American communities. </p> <p>(Sec. 7) Additionally, Interior must coordinate with the Department of Agriculture, the Department of Commerce, the Department of the Treasury, and the Small Business Administration to ensure that grant recipients have the information and materials needed to provide Native American businesses and entrepreneurs with assistance in applying for federal business and entrepreneurial development programs.</p>","['Natural Resources Committee', 'Indian and Insular Affairs Subcommittee', 'Indian Affairs Committee']","['Business education', 'Business investment and capital', 'Economic development', 'Education programs funding', 'Indian social and development programs', 'Minority education', 'Small business']",https://api.congress.gov/v3/bill/116/hr/1900?format=xml,"Sen. Udall, Tom [D-NM]",Native Americans,https://www.congress.gov/116/bills/s294/BILLS-116s294enr.xml
150,HR,116,GREAT Act,https://api.congress.gov/v3/bill/116/hr/150?format=xml,"<p><b>Grant Reporting Efficiency and Agreements Transparency Act of 2019 or the GREAT Act</b></p> <p>This bill requires the establishment and use of data standards for information reported by recipients of federal grants.</p> <p>The bill requires the Office of Management and Budget, jointly with&nbsp;the executive department that issues the most federal grant awards, to (1)&nbsp;establish government-wide data standards for information reported by grant recipients, (2) issue guidance directing federal agencies to apply those standards, and (3)&nbsp;require the publication of recipient-reported data collected from all agencies on a single public website.</p> <p>Each agency shall ensure its awards use the data standards for future information collection requests.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Accounting and auditing', 'Administrative law and regulatory procedures', 'Computers and information technology', 'Congressional oversight', 'Government ethics and transparency, public corruption', 'Government information and archives', 'Government trust funds', 'Office of Management and Budget (OMB)']","https://api.congress.gov/v3/bill/116/s/1829?format=xml, https://api.congress.gov/v3/bill/116/hr/50?format=xml","Rep. Foxx, Virginia [R-NC-5]",Government Operations and Politics,https://www.congress.gov/116/bills/hr150/BILLS-116hr150enr.xml
394,S,116,Presidential Transition Enhancement Act of 2019,https://api.congress.gov/v3/bill/116/s/394?format=xml,"<p><b>Presidential Transition Enhancement Act of 2019</b></p> <p>This bill makes changes intended to smooth the transfer of executive power during presidential transitions.</p> <p>The bill provides for the detailing of legislative branch employees on a reimbursable basis to office staffs designated by the President-elect or Vice President-elect with the consent of the supervising Member of Congress.</p> <p>The bill extends support provided by the General Services Administration (GSA) to the President- and Vice President-elect for up to 60 days after the inauguration.</p> <p>By September 1 of a year during which a presidential election occurs, the GSA shall enter into a memorandum of understanding (MOU) with each eligible candidate, which shall include the conditions for administrative support services and facilities. To the maximum extent practicable, an MOU shall be based on MOUs relating to previous presidential transitions. Each MOU shall include an agreement that the eligible candidate will implement and enforce an ethics plan to guide the conduct of the transition beginning on the date on which such candidate becomes President-elect. The plan shall be published on the GSA website.</p> <p>By September 15 of a year during which a presidential election occurs, each agency shall ensure that a succession plan is in place for each senior noncareer position in the agency.</p>","['Oversight and Government Reform Committee', 'Homeland Security and Governmental Affairs Committee']","['Congressional officers and employees', 'Elections, voting, political campaign regulation', 'Government ethics and transparency, public corruption', 'Government information and archives', 'Intelligence activities, surveillance, classified information', 'Presidents and presidential powers, Vice Presidents', 'Public participation and lobbying']","https://api.congress.gov/v3/bill/116/hr/964?format=xml, https://api.congress.gov/v3/bill/116/s/338?format=xml, https://api.congress.gov/v3/bill/116/s/949?format=xml","Sen. Johnson, Ron [R-WI]",Government Operations and Politics,https://www.congress.gov/116/bills/s394/BILLS-116s394enr.xml
3758,S,116,A bill to amend the Klamath Basin Water Supply Enhancement Act of 2000 to make certain technical corrections.,https://api.congress.gov/v3/bill/116/s/3758?format=xml,"<p>This bill specifies types of programs the Bureau of Reclamation may participate in, such as land idling (i.e., refraining from cultivating crops on certain land), for the purpose of aligning water supply and demand for users of irrigation water associated with the Klamath Project in Oregon and California. Additionally, the bill provides for the continued use of power from the Pick-Sloan Missouri Basin Program by the Kinsey Irrigation Company and the Sidney Water Users Irrigation District in Montana.</p>",['Energy and Natural Resources Committee'],"['California', 'Government studies and investigations', 'Indian lands and resources rights', 'Missouri River', 'Montana', 'Oregon', 'Water quality', 'Water storage', 'Water use and supply', 'Watersheds']","https://api.congress.gov/v3/bill/116/s/1811?format=xml, https://api.congress.gov/v3/bill/116/s/3591?format=xml, https://api.congress.gov/v3/bill/116/hr/7116?format=xml","Sen. Merkley, Jeff [D-OR]",Water Resources Development,https://www.congress.gov/116/bills/s3758/BILLS-116s3758enr.xml
2981,S,116,National Oceanic and Atmospheric Administration Commissioned Officer Corps Amendments Act of 2020,https://api.congress.gov/v3/bill/116/s/2981?format=xml,"<p><b>National Oceanic and Atmospheric Administration Commissioned Officer Corps Amendments Act of 2020</b></p> <p>This bill revises provisions related to the National Oceanic and Atmospheric Administration Commissioned Officer Corps.</p> <p>Among other provisions, the bill sets forth new requirements for the corps concerning</p> <ul> <li> commissioned grades and operational strength numbers,</li> <li>obligated service requirements, </li> <li>training and physical fitness, </li> <li>education loan assistance, </li> <li>recruitment, </li> <li>hiring and promotions, </li> <li>separation and retirement, </li> <li>sexual harassment and assault prevention, and </li> <li>other workforce issues.</li> </ul>","['Commerce, Science, and Transportation Committee']","['Administrative law and regulatory procedures', 'Arctic and polar regions', 'Atmospheric science and weather', 'Aviation and airports', 'Department of Commerce', 'Employee hiring', 'Employment discrimination and employee rights', 'Geography and mapping', 'Government employee pay, benefits, personnel management', 'Higher education', 'Interest, dividends, interest rates', 'Marine and inland water transportation', 'Mental health', 'Military personnel and dependents', 'Minority education', 'National symbols', 'Physical fitness and lifestyle', 'Student aid and college costs', 'Transportation employees']","https://api.congress.gov/v3/bill/116/hr/2406?format=xml, https://api.congress.gov/v3/bill/116/s/2910?format=xml, https://api.congress.gov/v3/bill/116/s/3930?format=xml","Sen. Sullivan, Dan [R-AK]","Science, Technology, Communications",https://www.congress.gov/116/bills/s2981/BILLS-116s2981enr.xml
914,S,116,Coordinated Ocean Observations and Research Act of 2020,https://api.congress.gov/v3/bill/116/s/914?format=xml,"<p><b>Coordinated Ocean Observations and Research Act of 2020</b></p> <p>This bill reauthorizes through FY2025 and revises the Integrated Coastal and Ocean Observation System (IOOS), which is a network of federal and regional entities that provide information about the nation's coasts, oceans, and Great Lakes, as well as new tools and forecasts to improve safety, enhance the economy, and protect the environment.</p> <p>The bill revises the authority of the National Oceanic and Atmospheric Administration (NOAA) to conduct scientific assessments related to storms, including to (1) direct NOAA to seek public input before the Named Storm Event Model (the official meteorological and oceanographic computerized model which utilizes data to replicate the magnitude, timing, and spatial variations of winds, rainfall, and storm surges associated with named storms for which post-storm assessments are conducted) takes effect, and (2) allow NOAA to deploy sensors to areas in coastal states that are at the highest risk of experiencing geophysical events that would cause indeterminate losses.</p> <p>The bill provides statutory authority for NOAA's National Water Center. (The center currently exists at NOAA as the research and operational center of excellence for hydrologic analyses, forecasting, and related decision support services.)</p> <p>Additionally, the bill directs the National Weather Service (NWS) to make a policy directive for the National Water Center publicly available. The NWS must also (1) initiate and lead all research and development activities to develop operational water resource prediction and related decision support products, (2) collaborate with relevant state and federal agencies regarding total water prediction, and (3) collaboratively develop capabilities necessary for total water predictive capacity.</p> </p>","['Financial Services Committee', 'Science, Space, and Technology Committee', 'Natural Resources Committee', 'Commerce, Science, and Transportation Committee']","['Administrative law and regulatory procedures', 'Advisory bodies', 'Air quality', 'Aquatic ecology', 'Atmospheric science and weather', 'Chemistry', 'Civil actions and liability', 'Climate change and greenhouse gases', 'Congressional oversight', 'Department of Homeland Security', 'Emergency planning and evacuation', 'Environmental assessment, monitoring, research', 'Environmental technology', 'Federal Emergency Management Agency (FEMA)', 'Floods and storm protection', 'Geography and mapping', 'Government information and archives', 'Government studies and investigations', 'Great Lakes']",https://api.congress.gov/v3/bill/116/s/810?format=xml,"Sen. Wicker, Roger F. [R-MS]",Public Lands and Natural Resources,https://www.congress.gov/116/bills/s914/BILLS-116s914enr.xml
725,S,116,A bill to change the address of the postal facility designated in honor of Captain Humayun Khan.,https://api.congress.gov/v3/bill/116/s/725?format=xml,"<p>This bill changes the U.S. Postal Service facility designated in Charlottesville, Virginia, in honor of Captain Humayun Khan (from the facility at 180 McCormick Road to the facility at 2150 Wise Street).</p>",['Oversight and Government Reform Committee'],"['Congressional tributes', 'Government buildings, facilities, and property', 'Military personnel and dependents', 'Postal service', 'Virginia']",,"Sen. Kaine, Tim [D-VA]",Government Operations and Politics,https://www.congress.gov/116/bills/s725/BILLS-116s725enr.xml
